#ID	T_NUM1	P_NUM1	T_NUM2	P_NUM2	LAT	LON	ErrZ
39	1	1361	3	2671	37.639489	-0.692626	0.256
40	1	1361	3	2706	37.639489	-0.692626	0.288
41	1	1361	5	901	37.639489	-0.692626	0.192
42	1	1366	5	916	37.63949	-0.692627	-0.0
43	1	1371	5	916	37.63949	-0.692627	0.256
44	1	1381	5	391	37.63949	-0.692625	0.48
45	1	1386	3	2671	37.639489	-0.692626	0.256
46	1	1386	3	2706	37.639489	-0.692626	0.288
47	1	1386	5	901	37.639489	-0.692626	0.192
48	1	1391	5	916	37.63949	-0.692627	-0.064
49	1	1406	3	2671	37.639491	-0.692626	0.64
50	1	1406	5	386	37.639491	-0.692626	0.672
51	1	1406	5	916	37.639491	-0.692626	0.357
52	1	1411	3	2671	37.63949	-0.692626	0.528
53	1	1411	3	2701	37.63949	-0.692627	0.48
54	1	1411	5	916	37.63949	-0.692627	0.192
55	1	1451	4	181	37.639493	-0.692628	0.288
56	2	111	6	41	37.639487	-0.692698	0.0
57	2	276	4	96	37.639496	-0.692652	-1.584
58	2	286	3	2361	37.639491	-0.692644	0.0
59	2	286	6	466	37.639493	-0.692648	0.0
60	2	291	3	2361	37.639491	-0.692644	0.0
61	2	311	3	2361	37.639491	-0.692644	0.0
62	2	311	5	941	37.639488	-0.69264	0.0
63	2	311	5	951	37.63949	-0.692642	0.0
64	2	331	3	1426	37.639486	-0.692635	0.0
65	2	341	3	2756	37.639485	-0.692628	0.048
66	2	346	3	2671	37.639486	-0.692628	0.0
67	2	351	3	2671	37.639487	-0.692627	0.0
68	2	356	3	2671	37.639487	-0.692627	0.0
69	2	366	3	2456	37.639486	-0.692625	0.0
70	2	366	3	2461	37.639485	-0.692624	0.0
71	2	366	3	2481	37.639483	-0.692623	-0.048
72	2	366	3	2576	37.639483	-0.692622	0.0
73	2	366	3	2671	37.639488	-0.692627	0.0
74	2	381	3	3611	37.639481	-0.692622	0.0
75	2	386	3	3611	37.639481	-0.692621	0.0
76	2	401	3	3011	37.63948	-0.692617	0.0
77	2	401	3	3026	37.63948	-0.692617	0.0
78	2	401	3	3041	37.639481	-0.692618	0.0
79	2	401	3	3586	37.639479	-0.692617	-0.032
80	2	436	3	3566	37.639481	-0.692614	0.0
81	2	516	5	466	37.639481	-0.692602	0.048
82	2	516	5	471	37.63948	-0.692602	0.096
83	2	516	5	476	37.63948	-0.692602	0.096
84	2	516	5	806	37.63948	-0.692602	0.096
85	2	516	5	811	37.63948	-0.692602	0.096
86	2	536	5	466	37.639481	-0.692602	0.0
87	2	541	5	821	37.639483	-0.692601	0.0
88	2	641	3	3091	37.63949	-0.692607	0.11
89	2	641	4	316	37.639488	-0.692606	0.077
90	2	666	4	286	37.639489	-0.692609	0.0
91	2	721	3	3056	37.639482	-0.692615	0.0
92	2	751	3	2561	37.639486	-0.692619	0.0
93	2	751	3	2566	37.639486	-0.692619	0.0
94	2	781	5	896	37.639487	-0.692624	0.128
95	2	791	3	2671	37.639486	-0.692628	0.0
96	2	791	3	2756	37.639486	-0.692628	0.0
97	2	801	3	2901	37.639484	-0.692631	0.0
98	2	801	3	2926	37.639484	-0.692632	0.0
99	2	816	3	3676	37.639484	-0.692636	-0.11
100	2	866	6	536	37.639489	-0.69265	-0.096
101	2	871	6	536	37.639489	-0.692649	-0.064
102	2	906	3	2336	37.63949	-0.692654	0.0
103	2	906	4	71	37.639493	-0.692655	-0.768
104	2	906	5	976	37.63949	-0.692654	-1.008
105	2	906	6	386	37.639492	-0.692654	0.0
106	2	906	6	391	37.639492	-0.692654	-0.384
107	2	906	7	556	37.639492	-0.692654	0.0
108	2	916	4	96	37.639496	-0.692652	-1.584
109	2	926	4	76	37.639494	-0.692654	-0.48
110	2	931	6	386	37.639492	-0.692654	0.0
111	2	931	6	391	37.639492	-0.692654	-0.48
112	2	951	4	76	37.639494	-0.692654	-0.48
113	2	1001	4	71	37.639493	-0.692655	-0.96
114	2	1001	6	386	37.639492	-0.692654	0.0
115	2	1001	6	391	37.639492	-0.692654	-0.32
116	2	1001	7	556	37.639492	-0.692654	0.0
117	2	1031	3	2321	37.63949	-0.692658	0.0
118	2	1031	5	981	37.63949	-0.692658	0.0
119	2	1041	4	56	37.639488	-0.692656	-0.288
120	2	1041	7	486	37.639487	-0.692656	0.0
121	2	1066	3	31	37.639481	-0.692651	0.0
122	2	1066	3	1081	37.639478	-0.692651	0.0
123	2	1066	3	3726	37.639476	-0.69265	0.0
124	2	1081	3	3726	37.639478	-0.692648	0.0
125	2	1101	3	21	37.639483	-0.692648	0.0
126	2	1126	6	536	37.639489	-0.692651	-0.144
127	2	1126	7	511	37.639488	-0.692651	0.0
128	2	1126	7	521	37.639488	-0.692651	0.0
129	2	1161	3	2346	37.63949	-0.69265	0.0
130	2	1161	6	536	37.639489	-0.692649	-0.064
131	2	1161	7	536	37.63949	-0.69265	0.0
132	2	1191	3	1361	37.639482	-0.692641	0.0
133	3	346	6	46	37.639485	-0.6927	0.0
134	3	691	7	36	37.639476	-0.692733	0.0
135	3	706	7	61	37.639474	-0.692736	0.0
136	3	1021	4	21	37.639483	-0.692661	-1.024
137	3	1021	4	31	37.639483	-0.692658	-0.672
138	3	1426	5	926	37.639487	-0.692636	0.0
139	3	2281	6	261	37.639491	-0.692669	0.0
140	3	2326	7	561	37.63949	-0.692656	0.0
141	3	2421	5	916	37.63949	-0.692627	-0.256
142	3	2541	5	866	37.639483	-0.692618	0.0
143	3	2541	5	876	37.639484	-0.692619	-0.096
144	3	2671	5	391	37.63949	-0.692626	0.0
145	3	2671	5	896	37.639488	-0.692627	0.0
146	3	2671	5	901	37.639488	-0.692627	-0.0
147	3	2686	5	381	37.639492	-0.692626	0.0
148	3	2701	5	916	37.63949	-0.692627	-0.288
149	3	3086	5	431	37.639486	-0.692612	0.0
150	3	3091	4	296	37.639489	-0.692607	0.0
151	3	3091	4	301	37.639489	-0.692607	0.0
152	3	3191	5	801	37.639479	-0.692594	-0.096
153	3	3196	5	496	37.639477	-0.692596	-0.192
154	3	3251	5	766	37.639472	-0.692588	0.128
155	3	3266	5	736	37.639475	-0.692584	0.0
156	3	3386	5	746	37.639468	-0.692586	-0.096
157	3	3401	5	746	37.639469	-0.692586	-0.128
158	3	3436	5	766	37.639472	-0.692588	0.064
159	3	3846	6	246	37.639488	-0.692672	0.0
160	3	3846	7	411	37.639488	-0.692672	0.0
161	3	3951	7	366	37.639489	-0.692688	0.0
162	4	1	6	581	37.639487	-0.692659	0.154
163	4	6	7	471	37.639486	-0.692658	0.384
164	4	16	7	471	37.639486	-0.692658	1.056
165	4	21	7	471	37.639485	-0.692659	1.104
166	4	56	6	561	37.639488	-0.692656	0.256
167	4	141	5	336	37.639498	-0.692638	-0.192
168	4	156	5	351	37.639496	-0.692634	0.0
169	5	956	6	441	37.639492	-0.692649	0.0
170	5	956	6	446	37.639492	-0.692649	0.0
171	5	956	6	466	37.639492	-0.692649	0.0
172	5	956	6	486	37.639492	-0.692648	-0.0
173	5	956	6	496	37.639491	-0.692647	-0.288
174	5	981	7	561	37.63949	-0.692656	0.0
175	6	41	7	326	37.639488	-0.692698	0.0
176	8	41	21	661	37.640288	-0.694564	0.0
177	8	61	15	941	37.640292	-0.694569	-0.192
178	8	61	19	186	37.640291	-0.694569	-0.192
179	8	66	11	206	37.640293	-0.694572	-0.192
180	8	76	19	196	37.640291	-0.694576	-0.192
181	8	86	10	586	37.640292	-0.694579	0.0
182	8	91	16	311	37.640292	-0.694585	0.0
183	8	106	14	561	37.640294	-0.694587	-0.288
184	8	116	16	911	37.640294	-0.694593	0.0
185	8	116	19	231	37.640295	-0.694592	-0.192
186	8	116	20	821	37.640294	-0.694593	-0.288
187	8	121	11	131	37.640293	-0.694597	-0.192
188	8	126	9	896	37.640293	-0.694597	-1.728
189	8	126	19	251	37.640293	-0.694598	-0.192
190	8	131	11	131	37.640295	-0.694599	-0.192
191	8	131	12	666	37.640295	-0.694599	0.0
192	8	131	16	386	37.640294	-0.694599	0.0
193	8	141	16	411	37.640296	-0.694601	0.0
194	8	146	9	926	37.640296	-0.694605	0.0
195	8	146	11	101	37.640296	-0.694605	-0.192
196	8	146	11	106	37.640296	-0.694604	-0.269
197	8	146	16	416	37.640296	-0.694603	0.0
198	8	146	19	1161	37.640295	-0.694607	-0.192
199	8	146	19	1196	37.640296	-0.694603	-1.467
200	8	146	20	101	37.640296	-0.694606	-0.288
201	8	146	20	766	37.640296	-0.694603	-0.288
202	8	161	12	711	37.640293	-0.694613	0.0
203	8	161	20	116	37.640293	-0.694613	-0.288
204	8	161	20	131	37.640293	-0.694613	-0.288
205	8	161	20	136	37.640293	-0.694613	-0.288
206	8	161	20	541	37.640293	-0.694613	-0.288
207	8	166	18	696	37.640292	-0.694614	0.0
208	8	181	20	511	37.640293	-0.694617	-0.32
209	8	196	18	356	37.640291	-0.694624	0.0
210	8	241	19	361	37.640287	-0.694638	-0.192
211	8	246	19	1046	37.640287	-0.694635	-0.192
212	8	366	18	896	37.640285	-0.694657	0.0
213	8	441	15	211	37.640292	-0.694645	-0.192
214	8	441	24	91	37.640292	-0.694646	-0.0
215	8	441	24	101	37.640293	-0.694643	0.0
216	8	466	18	431	37.640294	-0.694631	0.0
217	8	466	26	381	37.640294	-0.694631	0.768
218	8	476	15	256	37.640295	-0.694626	-0.192
219	8	476	18	356	37.640295	-0.694626	0.0
220	8	476	19	1091	37.640293	-0.694622	-0.192
221	8	476	20	221	37.640294	-0.694625	-0.288
222	8	486	20	511	37.640292	-0.694617	-0.336
223	8	491	18	696	37.640292	-0.694614	0.0
224	8	496	20	531	37.640292	-0.694612	-0.288
225	8	511	19	256	37.640291	-0.694601	-0.192
226	8	516	18	221	37.64029	-0.6946	0.0
227	8	546	11	161	37.640293	-0.694587	-0.192
228	8	571	16	876	37.640296	-0.694582	0.0
229	8	576	16	876	37.640296	-0.694581	0.0
230	8	586	12	601	37.640295	-0.694575	0.0
231	8	586	14	526	37.640295	-0.694576	-0.288
232	8	586	16	271	37.640294	-0.694574	0.0
233	8	586	24	541	37.640295	-0.694576	0.0
234	8	586	24	551	37.640296	-0.694579	0.0
235	8	586	25	316	37.640295	-0.694576	0.768
236	8	596	9	811	37.640295	-0.694571	0.0
237	8	596	21	666	37.640295	-0.694571	0.0
238	8	611	9	811	37.640295	-0.694571	0.0
239	8	611	21	666	37.640295	-0.694571	0.0
240	8	626	9	811	37.640296	-0.694571	0.0
241	8	626	14	501	37.640296	-0.694571	-0.288
242	8	626	14	506	37.640296	-0.694571	-0.36
243	8	626	16	851	37.640296	-0.694571	0.0
244	8	626	21	666	37.640296	-0.694571	0.0
245	8	661	15	366	37.640297	-0.694568	-0.192
246	8	661	25	296	37.640298	-0.694568	0.768
247	8	676	16	496	37.640298	-0.694577	0.0
248	8	676	16	861	37.640298	-0.694572	0.0
249	8	681	16	496	37.640298	-0.694577	0.0
250	8	686	16	866	37.6403	-0.694575	0.0
251	8	686	25	31	37.640299	-0.694575	0.768
252	8	696	9	166	37.6403	-0.694576	0.0
253	8	711	9	366	37.640302	-0.694579	0.0
254	8	721	16	496	37.640302	-0.69458	0.0
255	8	721	23	536	37.640303	-0.694579	-0.288
256	8	721	23	541	37.640303	-0.694579	-0.312
257	8	721	23	546	37.640303	-0.694579	-0.312
258	8	721	23	551	37.640303	-0.694579	-0.288
259	8	721	23	556	37.640303	-0.694579	-0.288
260	8	721	23	631	37.640303	-0.694579	-0.288
261	8	721	25	256	37.640303	-0.694579	0.768
262	8	721	26	306	37.640303	-0.694579	0.768
263	8	726	24	551	37.640301	-0.694581	0.0
264	8	726	25	21	37.640301	-0.694581	0.576
265	8	746	9	276	37.640297	-0.694588	0.0
266	8	746	9	281	37.640297	-0.694588	0.0
267	8	776	19	231	37.640295	-0.694592	-0.192
268	8	781	16	911	37.640294	-0.694594	-0.0
269	8	781	20	821	37.640295	-0.694594	-0.288
270	8	786	11	131	37.640293	-0.694597	-0.192
271	8	791	16	356	37.640292	-0.694598	0.0
272	8	791	18	201	37.640292	-0.694598	0.0
273	8	801	14	596	37.640292	-0.694599	-0.36
274	8	801	16	356	37.640293	-0.6946	0.0
275	8	801	18	211	37.640292	-0.694599	0.0
276	8	801	19	251	37.640292	-0.694599	-0.192
277	8	821	11	126	37.640295	-0.694603	-0.192
278	8	821	12	671	37.640295	-0.694603	0.0
279	8	821	16	411	37.640295	-0.694603	0.0
280	8	821	19	1171	37.640295	-0.694603	-0.192
281	8	821	19	1181	37.640295	-0.694603	-0.192
282	8	821	19	1196	37.640296	-0.694603	-0.936
283	8	826	11	106	37.640296	-0.694604	-0.288
284	8	836	19	1161	37.640295	-0.694607	-0.192
285	8	856	12	711	37.640293	-0.694612	0.0
286	8	856	14	196	37.640294	-0.694612	-0.365
287	8	856	14	641	37.640289	-0.694618	-4.564
288	8	856	18	311	37.64029	-0.694616	0.0
289	8	856	18	696	37.640292	-0.694614	0.0
290	8	856	19	296	37.64029	-0.694616	-0.192
291	8	856	20	116	37.640293	-0.694612	-0.288
292	8	856	20	131	37.640293	-0.694612	-0.288
293	8	856	20	136	37.640293	-0.694612	-0.288
294	8	856	20	511	37.64029	-0.694616	-0.357
295	8	856	20	541	37.640293	-0.694612	-0.288
296	8	856	23	741	37.64029	-0.694616	-0.324
297	8	891	15	1081	37.640284	-0.69463	-0.192
298	8	891	18	746	37.640285	-0.694629	0.0
299	8	911	18	771	37.640285	-0.694634	0.0
300	8	911	19	341	37.640285	-0.694634	-0.192
301	8	941	19	361	37.640288	-0.694639	-0.192
302	8	946	19	361	37.64029	-0.694642	-0.192
303	8	976	24	91	37.640292	-0.694646	0.0
304	8	981	24	91	37.640292	-0.694646	0.0
305	8	986	24	91	37.640292	-0.694646	0.0
306	8	996	15	206	37.640292	-0.694649	-0.192
307	8	1066	21	861	37.640294	-0.694648	-0.384
308	8	1096	24	791	37.640294	-0.694642	-0.128
309	8	1096	24	796	37.640294	-0.694642	-0.096
310	8	1111	23	36	37.640295	-0.694636	-0.288
311	8	1111	23	41	37.640295	-0.694636	-0.288
312	8	1111	23	46	37.640295	-0.694636	-0.288
313	8	1111	26	386	37.640295	-0.694636	0.768
314	8	1111	26	391	37.640296	-0.694637	0.768
315	8	1116	26	401	37.640298	-0.694638	0.768
316	8	1126	24	136	37.640298	-0.694633	0.0
317	8	1136	22	81	37.640299	-0.69463	-6.864
318	8	1146	24	156	37.6403	-0.694628	0.0
319	8	1156	26	361	37.6403	-0.694625	0.768
320	8	1161	12	811	37.6403	-0.694624	0.0
321	8	1161	21	771	37.6403	-0.694622	0.0
322	8	1171	18	551	37.6403	-0.694618	0.0
323	8	1181	19	1136	37.6403	-0.694612	-0.192
324	8	1181	19	1151	37.640299	-0.69461	-0.192
325	8	1181	20	626	37.640299	-0.694611	-2.131
326	8	1181	20	681	37.640299	-0.69461	-0.288
327	8	1181	21	191	37.640299	-0.69461	0.0
328	8	1181	24	196	37.6403	-0.694612	0.0
329	8	1191	16	416	37.640299	-0.694603	0.0
330	8	1191	16	421	37.640299	-0.694603	0.0
331	8	1191	20	731	37.640299	-0.694605	-0.288
332	8	1191	20	736	37.640299	-0.694604	-0.288
333	8	1191	21	736	37.6403	-0.694606	0.0
334	8	1191	24	611	37.640299	-0.694602	0.0
335	8	1196	23	701	37.640298	-0.6946	-0.288
336	8	1201	20	31	37.640297	-0.694598	-0.288
337	8	1211	9	276	37.640296	-0.694588	0.0
338	8	1211	9	281	37.640296	-0.694588	0.0
339	8	1211	9	316	37.640296	-0.694586	0.0
340	8	1211	9	321	37.640296	-0.694584	0.0
341	8	1211	14	46	37.640296	-0.694587	-0.288
342	8	1211	16	876	37.640296	-0.694584	0.0
343	8	1216	16	876	37.640296	-0.694582	0.0
344	8	1221	24	551	37.640297	-0.694579	0.0
345	8	1221	25	321	37.640297	-0.69458	0.768
346	8	1226	24	551	37.640297	-0.694579	0.0
347	8	1231	9	266	37.640299	-0.694583	0.0
348	8	1231	9	291	37.640299	-0.694583	0.0
349	8	1231	9	301	37.640299	-0.694583	0.0
350	8	1231	9	346	37.640299	-0.694583	0.0
351	8	1231	9	851	37.640298	-0.694582	0.0
352	8	1231	14	36	37.640298	-0.694582	-0.288
353	8	1231	15	336	37.6403	-0.694584	-0.192
354	8	1231	16	486	37.6403	-0.694585	0.0
355	8	1231	20	886	37.640302	-0.694587	-5.126
356	8	1231	21	251	37.640302	-0.694586	0.0
357	8	1231	21	691	37.6403	-0.694584	0.0
358	8	1231	23	516	37.640301	-0.694586	-0.288
359	8	1231	23	646	37.640302	-0.694586	-0.324
360	8	1231	25	341	37.6403	-0.694585	0.768
361	8	1231	25	346	37.640301	-0.694585	0.768
362	8	1231	25	351	37.640301	-0.694586	0.768
363	8	1236	9	266	37.6403	-0.694582	0.0
364	8	1236	9	291	37.6403	-0.694582	0.0
365	8	1236	9	301	37.6403	-0.694582	0.0
366	8	1236	9	346	37.6403	-0.694581	0.0
367	8	1236	14	346	37.640302	-0.694585	-0.288
368	8	1236	14	351	37.6403	-0.694582	-0.288
369	8	1236	15	341	37.6403	-0.694582	-2.784
370	8	1236	16	486	37.640301	-0.694584	0.0
371	8	1236	20	886	37.640303	-0.694587	-3.312
372	8	1236	21	261	37.640302	-0.694585	0.0
373	8	1236	21	691	37.6403	-0.694582	0.0
374	8	1236	22	581	37.6403	-0.694582	-0.192
375	8	1236	23	526	37.640302	-0.694585	-0.336
376	8	1236	23	641	37.640302	-0.694585	-0.288
377	8	1236	24	551	37.640299	-0.69458	0.0
378	8	1236	25	326	37.6403	-0.694582	0.768
379	8	1236	25	341	37.640301	-0.694584	0.768
380	8	1241	16	496	37.640298	-0.694577	0.0
381	8	1241	16	871	37.640298	-0.694578	0.0
382	8	1246	16	861	37.640298	-0.694572	0.0
383	8	1251	9	81	37.640298	-0.694567	0.0
384	8	1256	9	81	37.640299	-0.694566	0.0
385	8	1256	24	376	37.640301	-0.694566	0.0
386	8	1256	24	381	37.6403	-0.694566	0.0
387	8	1261	9	81	37.640299	-0.694566	0.0
388	8	1261	15	366	37.640298	-0.694565	-0.192
389	8	1261	16	531	37.640298	-0.694566	0.0
390	8	1261	24	376	37.6403	-0.694566	0.0
391	8	1261	24	381	37.6403	-0.694566	0.0
392	8	1261	24	506	37.640299	-0.694566	0.0
393	8	1261	25	41	37.640299	-0.694566	0.768
394	8	1261	25	291	37.640297	-0.694565	0.768
395	8	1271	9	56	37.640296	-0.694564	0.0
396	8	1271	12	566	37.640296	-0.694563	0.0
397	8	1271	15	921	37.640295	-0.694562	-0.192
398	8	1276	9	51	37.640297	-0.694561	0.0
399	8	1276	12	561	37.640296	-0.694561	0.0
400	8	1276	14	446	37.640296	-0.694561	-5.584
401	8	1276	15	921	37.640296	-0.694561	-0.192
402	8	1276	16	836	37.640296	-0.694561	0.0
403	8	1276	24	411	37.640297	-0.694561	0.0
404	8	1276	24	416	37.640297	-0.694561	0.0
405	8	1281	18	26	37.640299	-0.694559	0.0
406	8	1296	15	386	37.6403	-0.694555	-5.376
407	8	1306	9	436	37.6403	-0.694551	0.0
408	8	1311	9	421	37.6403	-0.694547	0.0
409	8	1316	9	671	37.6403	-0.694545	0.0
410	8	1316	11	316	37.6403	-0.694545	-0.192
411	8	1316	22	351	37.6403	-0.694545	-0.192
412	8	1321	12	91	37.6403	-0.694542	0.0
413	8	1321	12	96	37.6403	-0.694542	0.0
414	8	1321	16	586	37.640301	-0.694541	0.0
415	8	1321	21	371	37.640301	-0.694542	0.0
416	8	1331	10	36	37.640303	-0.694535	-0.0
417	8	1336	30	161	37.640303	-0.69453	-0.288
418	8	1341	11	481	37.6403	-0.694529	-1.088
419	8	1341	15	446	37.6403	-0.694529	-0.192
420	8	1341	21	401	37.640302	-0.694529	0.0
421	8	1341	26	246	37.640301	-0.694529	0.768
422	8	1341	26	251	37.6403	-0.694529	0.768
423	8	1341	30	156	37.640302	-0.694529	-0.288
424	8	1351	21	416	37.640299	-0.694527	-0.0
425	8	1401	13	76	37.640299	-0.694507	-2.364
426	8	1426	11	571	37.640297	-0.694501	-0.32
427	8	1431	11	571	37.640297	-0.694501	-0.32
428	8	1441	15	516	37.640293	-0.694504	-0.192
429	8	1441	15	751	37.640293	-0.694504	-0.192
430	8	1441	16	56	37.640294	-0.694504	-0.192
431	8	1491	15	511	37.640294	-0.694507	-0.192
432	8	1496	15	511	37.640294	-0.694507	-0.192
433	8	1511	21	506	37.640292	-0.694511	0.0
434	8	1516	10	391	37.640288	-0.694514	0.0
435	8	1516	21	516	37.640289	-0.694513	0.0
436	8	1516	21	531	37.640289	-0.694513	0.0
437	8	1546	10	406	37.640289	-0.694522	0.0
438	8	1546	19	81	37.640289	-0.694523	-0.192
439	8	1551	10	411	37.640291	-0.694524	0.0
440	8	1551	19	81	37.64029	-0.694525	-0.192
441	8	1561	15	821	37.640297	-0.694523	-0.24
442	8	1561	16	626	37.640294	-0.694523	0.0
443	8	1601	16	601	37.640298	-0.694533	-5.623
444	9	16	11	311	37.640297	-0.694549	-0.192
445	9	16	13	706	37.640297	-0.69455	-0.288
446	9	16	15	891	37.640298	-0.694551	-0.23
447	9	16	22	316	37.640298	-0.694552	-0.192
448	9	16	22	321	37.640298	-0.694551	-0.192
449	9	16	22	516	37.640298	-0.694552	-0.192
450	9	21	15	386	37.640298	-0.694555	-5.28
451	9	21	18	11	37.640298	-0.694556	0.0
452	9	41	18	26	37.640298	-0.694558	0.0
453	9	56	19	166	37.640296	-0.694564	-0.192
454	9	56	19	171	37.640296	-0.694564	-0.192
455	9	56	25	291	37.640296	-0.694564	0.768
456	9	71	15	366	37.640298	-0.694564	-0.192
457	9	71	25	291	37.640297	-0.694565	0.768
458	9	76	24	501	37.640299	-0.694564	0.0
459	9	76	25	46	37.640299	-0.694564	0.768
460	9	81	15	366	37.640297	-0.694568	-0.192
461	9	81	16	521	37.640298	-0.694567	0.0
462	9	81	24	506	37.640299	-0.694566	0.0
463	9	81	25	41	37.640299	-0.694566	0.768
464	9	81	25	261	37.640298	-0.694567	0.768
465	9	81	25	296	37.640298	-0.694567	0.768
466	9	86	15	366	37.640297	-0.694569	-0.192
467	9	86	25	296	37.640298	-0.694569	0.768
468	9	101	25	296	37.640298	-0.69457	0.768
469	9	111	16	511	37.640297	-0.694571	0.0
470	9	116	15	361	37.640298	-0.694572	-1.344
471	9	116	25	296	37.640297	-0.694572	0.768
472	9	121	16	861	37.640299	-0.694573	0.0
473	9	121	25	31	37.6403	-0.694572	0.768
474	9	141	15	361	37.640298	-0.694572	-1.344
475	9	141	16	861	37.640298	-0.694572	0.0
476	9	141	21	671	37.640297	-0.694573	0.0
477	9	141	25	296	37.640297	-0.694573	0.768
478	9	146	25	296	37.640297	-0.694574	0.768
479	9	146	25	311	37.640297	-0.694574	0.768
480	9	151	16	496	37.640297	-0.694575	0.0
481	9	156	15	361	37.640298	-0.694574	-1.92
482	9	156	16	496	37.640297	-0.694575	0.0
483	9	156	21	671	37.640298	-0.694574	0.0
484	9	166	16	866	37.6403	-0.694576	0.0
485	9	166	25	31	37.640299	-0.694575	0.768
486	9	166	26	306	37.640302	-0.694576	0.768
487	9	176	22	216	37.640305	-0.694578	-0.192
488	9	176	24	321	37.640306	-0.694577	0.0
489	9	176	25	131	37.640305	-0.694578	0.768
490	9	181	24	321	37.640306	-0.694577	0.0
491	9	196	24	321	37.640306	-0.694577	0.0
492	9	201	24	321	37.640306	-0.694577	0.0
493	9	241	25	251	37.640304	-0.694581	0.768
494	9	251	23	531	37.640303	-0.694582	5.472
495	9	251	24	551	37.640303	-0.694582	5.952
496	9	256	24	551	37.640302	-0.694581	3.703
497	9	266	14	351	37.6403	-0.694582	-0.288
498	9	266	15	346	37.6403	-0.694582	-2.784
499	9	266	21	686	37.6403	-0.694582	0.0
500	9	266	22	581	37.6403	-0.694582	-0.192
501	9	266	24	551	37.640301	-0.694581	0.0
502	9	266	25	21	37.640301	-0.694581	0.576
503	9	266	25	326	37.6403	-0.694582	0.768
504	9	276	14	46	37.640296	-0.694588	-0.288
505	9	276	18	146	37.640297	-0.694588	0.0
506	9	281	14	46	37.640296	-0.694588	-0.288
507	9	281	18	146	37.640297	-0.694588	0.0
508	9	316	16	876	37.640295	-0.694585	0.0
509	9	321	16	876	37.640296	-0.694584	-0.0
510	9	346	24	551	37.6403	-0.69458	0.0
511	9	346	25	326	37.640299	-0.694581	0.768
512	9	351	24	551	37.6403	-0.69458	0.0
513	9	356	24	551	37.640301	-0.694581	0.0
514	9	356	25	21	37.640301	-0.694581	0.576
515	9	366	16	496	37.640302	-0.69458	0.0
516	9	366	23	636	37.640303	-0.694578	-0.288
517	9	366	26	306	37.640303	-0.694578	0.768
518	9	381	14	406	37.640303	-0.69457	-4.824
519	9	381	14	416	37.640302	-0.694565	0.48
520	9	381	16	541	37.640301	-0.694563	4.32
521	9	381	22	241	37.640302	-0.694567	2.048
522	9	381	22	261	37.640302	-0.694565	3.168
523	9	381	24	371	37.640302	-0.694565	3.36
524	9	381	25	51	37.640301	-0.694561	6.048
525	9	381	26	296	37.640302	-0.694565	4.128
526	9	391	18	11	37.640299	-0.694556	11.213
527	9	416	22	491	37.640298	-0.694545	-0.192
528	9	421	11	316	37.640299	-0.694546	-0.192
529	9	421	15	876	37.640299	-0.694546	-0.192
530	9	421	22	491	37.640298	-0.694545	-0.192
531	9	421	22	496	37.6403	-0.694547	-0.192
532	9	421	26	276	37.6403	-0.694547	0.768
533	9	436	13	721	37.640299	-0.694551	-0.288
534	9	436	13	731	37.6403	-0.694551	-0.288
535	9	436	15	891	37.640298	-0.69455	-0.206
536	9	436	22	321	37.640298	-0.69455	-0.192
